"object_id","term_taxonomy_id","term_order"
"987","60","0"
"987","65","0"
"987","215","0"
"987","216","0"
"987","290","0"
"998","7","0"
"1026","7","0"
"1026","13","0"
"1042","2","0"
"1042","12","0"
"1042","13","0"
"1042","23","0"
"1042","58","0"
"1042","295","0"
"1042","296","0"
"1051","7","0"
"1051","12","0"
"1051","14","0"
"1051","297","0"
"1051","298","0"
"1051","299","0"
"1064","2","0"
"1064","11","0"
"1064","12","0"
"1064","21","0"
"1064","28","0"
"1064","63","0"
"1064","82","0"
"1064","234","0"
"1064","300","0"
"1078","236","0"
"1078","238","0"
"1078","301","0"
"1091","2","0"
"1091","7","0"
"1091","11","0"
"1091","60","0"
"1091","204","0"
"1091","265","0"
"1091","306","0"
"1091","307","0"
"1115","2","0"
"1135","2","0"
"1135","84","0"
"1135","308","0"
"1135","309","0"
"1142","2","0"
"1142","11","0"
"1142","12","0"
"1142","28","0"
"1142","41","0"
"1142","42","0"
"1142","63","0"
"1142","310","0"
"1142","311","0"
"1151","10","0"
"1151","28","0"
"1151","63","0"
"1151","204","0"
"1151","205","0"
"1159","7","0"
"1159","14","0"
"1159","91","0"
"1159","106","0"
"1159","150","0"
"1159","318","0"
"1163","7","0"
"1163","44","0"
"1163","269","0"
"1163","320","0"
"1168","2","0"
"1168","11","0"
"1168","13","0"
"1168","325","0"
"1168","326","0"
"1168","327","0"
"1168","328","0"
"1189","2","0"
"1189","65","0"
"1189","82","0"
"1189","265","0"
"1189","290","0"
"1189","330","0"
"1189","331","0"
"1193","7","0"
"1193","190","0"
"1193","270","0"
"1193","332","0"
"1199","2","0"
"1199","11","0"
"1199","335","0"
"1199","336","0"
"1199","337","0"
"1199","338","0"
"1199","339","0"
"1212","2","0"
"1225","11","0"
"1225","13","0"
"1225","340","0"
"1225","341","0"
"1225","342","0"
"1232","2","0"
"1232","23","0"
"1232","106","0"
"1232","343","0"
"1232","344","0"
"1241","2","0"
"1241","13","0"
"1241","160","0"
"1241","349","0"
"1241","350","0"
"1241","351","0"
"1250","2","0"
"1250","352","0"
"1250","353","0"
"1250","354","0"
"1267","12","0"
"1267","64","0"
"1267","127","0"
"1267","355","0"
"1278","2","0"
"1278","23","0"
"1278","134","0"
"1278","215","0"
"1278","356","0"
"1278","357","0"
"1284","7","0"
"1284","190","0"
"1284","216","0"
"1284","265","0"
"1284","332","0"
"1284","358","0"
"1299","13","0"
"1299","353","0"
"1299","359","0"
"1299","360","0"
"1299","361","0"
"1305","2","0"
"1305","352","0"
"1305","353","0"
"1305","359","0"
"1305","362","0"
"1305","363","0"
"1310","12","0"
"1310","14","0"
"1310","64","0"
"1310","106","0"
"1310","134","0"
"1310","364","0"
"1315","2","0"
"1315","7","0"
"1315","190","0"
"1315","227","0"
"1315","368","0"
"1315","369","0"
"1325","2","0"
"1325","242","0"
"1325","365","0"
"1325","366","0"
"1325","367","0"
"1329","2","0"
"1329","11","0"
"1329","12","0"
"1329","13","0"
"1329","28","0"
"1329","63","0"
"1329","72","0"
"1329","204","0"
"1329","263","0"
"1329","370","0"
"1329","371","0"
"1340","2","0"
"1340","11","0"
"1340","187","0"
"1340","364","0"
"1340","372","0"
"1351","7","0"
"1356","2","0"
"1356","11","0"
"1356","13","0"
"1356","134","0"
"1373","2","0"
"1373","212","0"
"1373","242","0"
"1373","373","0"
"1373","374","0"
"1373","375","0"
"1373","376","0"
"1373","377","0"
"1379","2","0"
"1379","23","0"
"1379","44","0"
"1379","215","0"
"1379","262","0"
"1379","286","0"
"1379","378","0"
"1379","379","0"
"1379","380","0"
"1420","2","0"
"1420","60","0"
"1420","63","0"
"1420","72","0"
"1420","127","0"
"1420","262","0"
"1420","342","0"
"1420","381","0"
"1434","2","0"
"1447","2","0"
"1447","382","0"
"1447","383","0"
"1447","384","0"
"1458","7","0"
"1458","171","0"
"1458","388","0"
"1458","389","0"
"1458","390","0"
"1486","2","0"
"1486","11","0"
"1486","12","0"
"1486","233","0"
"1486","234","0"
"1486","391","0"
"1486","392","0"
"1493","2","0"
"1493","12","0"
"1493","28","0"
"1493","41","0"
"1493","391","0"
"1493","393","0"
"1503","2","0"
"1522","2","0"
"1522","11","0"
"1522","12","0"
"1522","13","0"
"1522","18","0"
"1522","82","0"
"1525","7","0"
"1525","14","0"
"1525","23","0"
"1525","65","0"
"1525","166","0"
"1525","215","0"
"1525","282","0"
"1525","397","0"
"1525","398","0"
"1535","2","0"
"1535","399","0"
"1535","400","0"
"1535","401","0"
"1540","2","0"
"1540","96","0"
"1540","216","0"
"1540","402","0"
"1540","403","0"
"1540","404","0"
"1552","2","0"
"1552","7","0"
"1552","84","0"
"1552","254","0"
"1552","332","0"
"1552","405","0"
"1552","406","0"
"1552","407","0"
"1552","408","0"
"1552","813","0"
"1552","814","0"
"1552","815","0"
"1552","816","0"
"1558","2","0"
"1558","23","0"
"1558","39","0"
"1558","410","0"
"1564","2","0"
"1564","10","0"
"1564","124","0"
"1564","125","0"
"1564","411","0"
"1570","11","0"
"1570","12","0"
"1570","13","0"
"1570","242","0"
"1570","412","0"
"1581","2","0"
"1581","11","0"
"1581","12","0"
"1581","13","0"
"1581","127","0"
"1581","413","0"
"1581","414","0"
"1592","2","0"
"1592","11","0"
"1592","12","0"
"1592","164","0"
"1592","415","0"
"1592","416","0"
"1592","417","0"
"1592","418","0"
"1592","419","0"
"1595","2","0"
"1595","11","0"
"1595","187","0"
"1595","387","0"
"1595","420","0"
"1595","421","0"
"1605","2","0"
"1605","11","0"
"1605","12","0"
"1605","13","0"
"1605","134","0"
"1605","260","0"
"1605","414","0"
"1611","2","0"
"1630","2","0"
"1635","2","0"
"1647","11","0"
"1647","13","0"
"1647","44","0"
"1647","137","0"
"1647","170","0"
"1647","224","0"
"1647","332","0"
"1647","424","0"
